Date,Open,High,Low,Close
"2018-03-03 00:00:00",11019.52,11498.41,11019.52,11438.65
"2018-03-04 00:00:00",11438.65,11510.24,11067.78,11479.73
"2018-03-05 00:00:00",11479.73,11660.24,11411.97,11432.98
"2018-03-06 00:00:00",11432.98,11432.98,10584.96,10709.53
"2018-03-07 00:00:00",10709.53,10888.41,9468.45,9906.8
"2018-03-08 00:00:00",9906.8,10101.28,9075.87,9299.28
"2018-03-09 00:00:00",9299.28,9409.29,8370.8,9237.05
"2018-03-10 00:00:00",9237.05,9505.26,8720.05,8787.16
"2018-03-11 00:00:00",8787.16,9730.08,8474.54,9532.74
"2018-03-12 00:00:00",9532.74,9885.22,8778.21,9118.27
"2018-03-13 00:00:00",9118.27,9474.68,8860.87,9144.15
"2018-03-14 00:00:00",9144.15,9313.03,7955.06,8196.9
"2018-03-15 00:00:00",8196.9,8413.11,7676.52,8256.99
"2018-03-16 00:00:00",8256.99,8599.54,7924.2,8269.33
"2018-03-17 00:00:00",8269.33,8342.13,7755.82,7862.11
"2018-03-18 00:00:00",7862.11,8292.98,7335.57,8196.02
"2018-03-19 00:00:00",8196.02,8702.46,8129.48,8594.19
"2018-03-20 00:00:00",8594.19,9035.35,8324.26,8915.9
"2018-03-21 00:00:00",8915.9,9159.9,8765.57,8895.4
"2018-03-22 00:00:00",8895.4,9084.77,8495.1,8712.89
"2018-03-23 00:00:00",8712.89,8918.74,8296.33,8918.74
"2018-03-24 00:00:00",8918.74,9000.44,8509.04,8535.89
"2018-03-25 00:00:00",8535.89,8660.49,8380.5,8449.83
"2018-03-26 00:00:00",8449.83,8489.61,7863.21,8138.34
"2018-03-27 00:00:00",8138.34,8211,7751.31,7790.16
"2018-03-28 00:00:00",7790.16,8096.02,7744.82,7937.2
"2018-03-29 00:00:00",7937.2,7958.04,6915.55,7086.49
"2018-03-30 00:00:00",7086.49,7266.06,6593.74,6844.32
"2018-03-31 00:00:00",6844.32,7213.5,6796.82,6926.02
"2018-04-01 00:00:00",6926.02,7034.93,6443.2,6816.74
"2018-04-02 00:00:00",6816.74,7108.2,6775.71,7049.79
"2018-04-03 00:00:00",7049.79,7506.68,7022.99,7417.89
"2018-04-04 00:00:00",7417.89,7419.8,6715.56,6789.3
"2018-04-05 00:00:00",6789.3,6918.7,6583.85,6774.75
"2018-04-06 00:00:00",6774.75,6850.35,6513.1,6620.41
